distributor_address,token_symbol,synth_token_address,reward_type
0xe92bcD40849BE5a5eb90065402e508aF4b28263b,USDC,,incentive
0x45063DCd92f56138686810eacB1B510C941d6593,SNX,,incentive
0x7656bDEE9f4e7A507fd0C5b2431D3F3690E20711,cbBTC,0xEDE1d04C864EeEC40393ED4cb454B85A5ABD071C,liquidation
0x4D64E1FDcfD08081F0bF088C1e6b32087FeF0237,cbETH,0xc302f3f74ec19d0917C7F19Bca6775f7000a292a,liquidation
0x2F64ad511C33a78080b114c5ef51370B31488e65,WETH,0xFA24Be208408F20395914Ba82Def333d987E0080,liquidation
0xE8183A61d64ea44a430bB361467063535B769052,wstETH,0x3526D453D1Edb105E4e2b8448760fC501050d976,liquidation
0x7A1b3DB73E5B8c58EDC8A821890005064f2B83Fd,SNX,,incentive
0xa7163fE9788BF14CcDac854131CAc2C17d1a1676,USDC,,incentive
0x90e42b97188f4e99466a06D1419B5A7Fb367fe38,USDC,0xC74eA762cF06c9151cE074E6a569a5945b6302E7,liquidation
0x8F80b20efb6BcCa7809997B4609094C63f315C32,StataUSDC,0x729Ef31D86d31440ecBF49f27F7cD7c16c6616d2,liquidation
